sample_name,read_type,source_type,file_path_1,file_path_2,checksum_1,checksum_2
SRR10034565,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/065/SRR10034565/SRR10034565_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/065/SRR10034565/SRR10034565_2.fastq.gz,6fb378edf5ee7c1a0b36e9c26704d402,8cce45196d79233d63e5dc2d36222c27
SRR10034564,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/064/SRR10034564/SRR10034564_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/064/SRR10034564/SRR10034564_2.fastq.gz,3274dc8a8c2de65f3e1fe55fca929e56,818e470601eb216b4f92a457444e0568
SRR10034563,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/063/SRR10034563/SRR10034563_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/063/SRR10034563/SRR10034563_2.fastq.gz,131bd1f20cb85c9b4e6adfaa30d67e98,95b7729e2666339bdd460038bd96cdba
SRR10034562,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/062/SRR10034562/SRR10034562_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/062/SRR10034562/SRR10034562_2.fastq.gz,504404257a3cc78509260183b3f59d04,36f59f71018b4ce3d39c4cbdb2b6e10d
SRR10034561,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/061/SRR10034561/SRR10034561_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/061/SRR10034561/SRR10034561_2.fastq.gz,88e2b826d6a77348865cb50c1d29c1f0,de749e07391a0c9c98b3e66ad0f524f7
SRR10034560,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/060/SRR10034560/SRR10034560_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/060/SRR10034560/SRR10034560_2.fastq.gz,0de85602fdda95a868d28096fd8b1ec0,3c85c5d358843a88391313df76ab04fe
SRR10034555,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/055/SRR10034555/SRR10034555_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/055/SRR10034555/SRR10034555_2.fastq.gz,96abe801807b2f8401110d8ab62cbd41,0a225f051d7217fe633ee46c71ca2e54
SRR10034554,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/054/SRR10034554/SRR10034554_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/054/SRR10034554/SRR10034554_2.fastq.gz,a20ed299f5266736f41b4ae9fc984131,7f7bcfbbd5577a29d4479b89be9db951
SRR10034553,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/053/SRR10034553/SRR10034553_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/053/SRR10034553/SRR10034553_2.fastq.gz,aaf9b60fc82583910d213adba25f4f51,cfde3bbb759e432a18f32f5573143280
SRR10034552,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/052/SRR10034552/SRR10034552_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/052/SRR10034552/SRR10034552_2.fastq.gz,9759c0a33613b0b11dba9c8a031d027f,7225640c3ff81950f44570a25a1b12ae
